Category,City,Country,Country Abbr,Current Year(Today),Customer,Customer ID,Customer Name,Order Date (DMY),Order Date (MDY),Order ID,Order ID1,Postal Code,Prior Year(Today),Product ID,Product Name,Purple Product,Region,Returned,Row ID,Segment,Sheet,Ship Date (DMY),Ship Date (MDY),Ship Date MDY - String,Ship Mode,Ship Mode (group),State,Sub-Category,Sub-Category (group),Table Name,Average Sales,Discount,Discount (copy),Number of Records,Order Count,Order Count Distinct,Profit,Profit %,Profit % - Row Level,Profit % Full,Profit %- Dynamic Aggregation,Quantity,Quantity Threshold,Sales,Test Set Calculation,Top Tier Color
Furniture,Henderson,United States,,2022,CLAIRE GUTE,CG-12520,Claire Gute,11/8/2017,11/8/2017,,CA-2017-152156,42420,2021,FUR-BO-10001798,Bush Somerset Collection Bookcase,False,South,,1,Consumer,Orders,11/11/2017,11/11/2017,2017-11-11,Second Class,Basic,Kentucky,Bookcases,Bookcases,Orders,261.96,0,0,1,0,0,41.9136,0.16,0.16,16,0.16,2,2,261.96,0,All Other
Furniture,Henderson,United States,,2022,CLAIRE GUTE,CG-12520,Claire Gute,11/8/2017,11/8/2017,,CA-2017-152156,42420,2021,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",False,South,,2,Consumer,Orders,11/11/2017,11/11/2017,2017-11-11,Second Class,Basic,Kentucky,Chairs,Chairs,Orders,731.94,0,0,1,0,0,219.582,0.3,0.3,30,0.3,3,3,731.94,0,All Other
Office Supplies,Los Angeles,United States,,2022,DARRIN VAN HUFF,DV-13045,Darrin Van Huff,6/12/2017,6/12/2017,,CA-2017-138688,90036,2021,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,False,West,,3,Corporate,Orders,16/6/2017,6/16/2017,2017-06-16,Second Class,Basic,California,Labels,Labels & Paper,Orders,14.62,0,0,1,0,0,6.8714,0.47,0.47,47,0.47,2,2,14.62,0,All Other
Office Supplies,Concord,United States,,2022,ANDREW ALLEN,AA-10480,Andrew Allen,4/15/2018,4/15/2018,,CA-2018-114412,28027,2021,OFF-PA-10002365,Xerox 1967,False,South,,13,Consumer,Orders,20/4/2018,4/20/2018,2018-04-20,Standard Class,Basic,North Carolina,Paper,Labels & Paper,Orders,15.552,0.2,0.2,1,0,0,5.4432,0.35,0.35,35,0.35,3,3,15.552,0,All Other
Office Supplies,Seattle,United States,,2022,IRENE MADDOX,IM-15070,Irene Maddox,12/5/2017,12/5/2017,,CA-2017-161389,98103,2021,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,False,West,,14,Consumer,Orders,10/12/2017,12/10/2017,2017-12-10,Standard Class,Basic,Washington,Binders,Binders,Orders,407.976,0.2,0.2,1,0,0,132.5922,0.325,0.325,32.5,0.325,3,3,407.976,0,All Other
Office Supplies,Fremont,United States,,2022,KEN BLACK,KB-16585,Ken Black,12/9/2017,12/9/2017,,CA-2017-137330,68025,2021,OFF-AR-10000246,Newell 318,False,Central,,22,Corporate,Orders,13/12/2017,12/13/2017,2017-12-13,Standard Class,Basic,Nebraska,Art,Art,Orders,19.46,0,0,1,0,0,5.0596,0.26,0.26,26,0.26,7,7,19.46,0,All Other
Office Supplies,Fremont,United States,,2022,KEN BLACK,KB-16585,Ken Black,12/9/2017,12/9/2017,,CA-2017-137330,68025,2021,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",False,Central,,23,Corporate,Orders,13/12/2017,12/13/2017,2017-12-13,Standard Class,Basic,Nebraska,Appliances,Appliances,Orders,60.34,0,0,1,0,0,15.6884,0.26,0.26,26,0.26,7,7,60.34,0,All Other
Furniture,Philadelphia,United States,,2022,SANDRA FLANAGAN,SF-20065,Sandra Flanagan,7/16/2018,7/16/2018,,US-2018-156909,19140,2021,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",False,East,,24,Consumer,Orders,18/7/2018,7/18/2018,2018-07-18,Second Class,Basic,Pennsylvania,Chairs,Chairs,Orders,71.372,0.3,0.3,1,0,0,-1.0196,-0.014285714,-0.014285714,-1.428571429,-0.014285714,2,2,71.372,0,All Other
Office Supplies,Los Angeles,United States,,2022,ERIC HOFFMANN,EH-13945,Eric Hoffmann,1/16/2017,1/16/2017,,CA-2017-121755,90049,2021,OFF-BI-10001634,Wilson Jones Active Use Binders,False,West,,26,Consumer,Orders,20/1/2017,1/20/2017,2017-01-20,Second Class,Basic,California,Binders,Binders,Orders,11.648,0.2,0.2,1,0,0,4.2224,0.3625,0.3625,36.25,0.3625,2,2,11.648,0,All Other
Technology,Los Angeles,United States,,2022,ERIC HOFFMANN,EH-13945,Eric Hoffmann,1/16/2017,1/16/2017,,CA-2017-121755,90049,2021,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,False,West,,27,Consumer,Orders,20/1/2017,1/20/2017,2017-01-20,Second Class,Basic,California,Accessories,Accessories,Orders,90.57,0,0,1,0,0,11.7741,0.13,0.13,13,0.13,3,3,90.57,0,All Other
Office Supplies,Houston,United States,,2022,MATT ABELMAN,MA-17560,Matt Abelman,10/19/2018,10/19/2018,,CA-2018-107727,77095,2021,OFF-PA-10000249,Easy-staple paper,False,Central,,35,Home Office,Orders,23/10/2018,10/23/2018,2018-10-23,Second Class,Basic,Texas,Paper,Labels & Paper,Orders,29.472,0.2,0.2,1,0,0,9.9468,0.3375,0.3375,33.75,0.3375,3,3,29.472,0,All Other
Technology,Richardson,United States,,2022,GENE HALE,GH-14485,Gene Hale,12/8/2017,12/8/2017,,CA-2017-117590,75080,2021,TEC-PH-10004977,GE 30524EE4,False,Central,,36,Corporate,Orders,10/12/2017,12/10/2017,2017-12-10,First Class,First Class,Texas,Phones,Phones,Orders,1097.544,0.2,0.2,1,0,0,123.4737,0.1125,0.1125,11.25,0.1125,7,7,1097.544,0,All Other
